ratio,FY2024,FY2025
ebitda_margin,0.18503714285236364,0.18109464692567934
ebit_margin,0.09835599038963892,0.09656098918370613
net_margin,0.056994637802128933,0.053247604465857884
ocf_margin,0.11948964053703384,0.134445802828443
roa,0.03447171593192016,0.031992003447382754
roe,0.06455144429079283,0.06170446607904513
debt_to_ebitda,2.721243799354307,2.9602648134609693
debt_to_cashflow,4.214015335339222,3.9873919447250517
debt_to_assets,0.3045476625123411,0.32209022121578046
debt_to_equity,0.5702933822436355,0.621230400968439
net_debt,3870367000.0,4497037000.0
net_leverage,2.3325257653364093,2.5745328867106076
icr,5.827654330776295,5.159709488169565
ebitda_icr,10.963567166841761,9.676741879906265
dscr,2.3873076417496777,4.9629346141334505
payback_ratio,2.3325257653364093,2.5745328867106076
fccr,1.4203260418316206,2.068537194232336
current_ratio,1.0132637497125563,1.1719095332288088
quick_ratio,0.864344667155285,0.9791908975524893
working_capital,30801000.0,382224000.0
debtor_days,55.44456562405735,56.889750481263285
inventory_days,8.500163648234913,8.58915417925637
free_cash_flow,-7402000.0,320062000.0
tangible_net_worth,-1208641000.0,-1443168000.0
