ratio,FY2023,FY2024
ebitda_margin,0.19255222524977295,0.19307198174941467
ebit_margin,0.09592677985048557,0.10079846310860299
net_margin,0.05865297282191015,0.06660863300714415
ocf_margin,0.13693844756515056,0.13288707450321185
roa,0.029598942265315117,0.03635678474293017
roe,0.055370510833360816,0.07130691860278286
debt_to_ebitda,3.6972060957910013,3.6335509950248754
debt_to_cashflow,5.198724489795918,5.27919584368647
debt_to_assets,0.35925958572058175,0.38291771799324964
debt_to_equity,0.6720641097516736,0.751020277001189
net_debt,1846200000.0,2152200000.0
net_leverage,3.3494194484760524,3.346082089552239
icr,3.1635944700460827,2.8030050083472453
ebitda_icr,6.350230414746544,5.368948247078464
dscr,0.9297912713472486,2.496897913141568
payback_ratio,3.3494194484760524,3.346082089552239
fccr,0.8079742011140428,2.1744421906693714
current_ratio,0.8419997996192766,1.2718185313341022
quick_ratio,0.6034465484420398,0.8881199538638985
working_capital,-157700000.0,212100000.0
debtor_days,52.35415356668763,55.66923815813172
inventory_days,3.276916090267589,10.978267395089151
free_cash_flow,-189800000.0,-243900000.0
tangible_net_worth,2129700000.0,2147200000.0
